"Data","dumdilma","ddilma","d3","d4","",""
"1996.I","0","0","0","0","",""
"1996.II","0","0","0","0",""," "
"1996.III","0","0","1","0",""," "
"1996.IV","0","0","0","1",""," "
"1997.I","0","0","0","0",""," "
"1997.II","0","0","0","0",""," "
"1997.III","0","0","1","0",""," "
"1997.IV","0","0","0","1",""," "
"1998.I","0","0","0","0",""," "
"1998.II","0","0","0","0",""," "
"1998.III","0","0","1","0",""," "
"1998.IV","0","0","0","1",""," "
"1999.I","0","0","0","0",""," "
"1999.II","0","0","0","0",""," "
"1999.III","0","0","1","0",""," "
"1999.IV","0","0","0","1",""," "
"2000.I","0","0","0","0",""," "
"2000.II","0","0","0","0",""," "
"2000.III","0","0","1","0",""," "
"2000.IV","0","0","0","1",""," "
"2001.I","0","0","0","0",""," "
"2001.II","0","0","0","0",""," "
"2001.III","0","0","1","0",""," "
"2001.IV","0","0","0","1",""," "
"2002Q1","0","0","0","0",""," "
"2002Q2","0","0","0","0","",""
"2002Q3","0","0","1","0","",""
"2002Q4","0","0","0","1","",""
"2003Q1","0","0","0","0","",""
"2003Q2","0","0","0","0","",""
"2003Q3","0","0","1","0","",""
"2003Q4","0","0","0","1","",""
"2004Q1","0","0","0","0","",""
"2004Q2","0","0","0","0","",""
"2004Q3","0","0","1","0","",""
"2004Q4","0","0","0","1","",""
"2005Q1","0","0","0","0","",""
"2005Q2","0","0","0","0","",""
"2005Q3","0","0","1","0","",""
"2005Q4","0","0","0","1","",""
"2006Q1","0","0","0","0","",""
"2006Q2","0","0","0","0","",""
"2006Q3","0","0","1","0","",""
"2006Q4","0","0","0","1","",""
"2007Q1","0","0","0","0","",""
"2007Q2","0","0","0","0","",""
"2007Q3","0","0","1","0","",""
"2007Q4","0","0","0","1","",""
"2008Q1","0","0","0","0","",""
"2008Q2","0","0","0","0","",""
"2008Q3","0","0","1","0","",""
"2008Q4","0","0","0","1","",""
"2009Q1","0","0","0","0","",""
"2009Q2","0","0","0","0","",""
"2009Q3","0","0","1","0","",""
"2009Q4","0","0","0","1","",""
"2010Q1","0","0","0","0","",""
"2010Q2","0","0","0","0","",""
"2010Q3","0","0","1","0","",""
"2010Q4","0","0","0","1","",""
"2011Q1","0","0","0","0","",""
"2011Q2","0","0","0","0","",""
"2011Q3","0","0","1","0","",""
"2011Q4","0","0","0","1","",""
"2012Q1","0","0","0","0","",""
"2012Q2","0","0","0","0","",""
"2012Q3","0","0","1","0","",""
"2012Q4","0","0","0","1","",""
"2013Q1","0","0","0","0","",""
"2013Q2","0","0","0","0","",""
"2013Q3","0","0","1","0","",""
"2013Q4","0","0","0","1","",""
"2014Q1","0.25","0","0","0","",""
"2014Q2","0.25","0","0","0","",""
"2014Q3","0.5","0","1","0","",""
"2014Q4","0.5","0","0","1","",""
"2015Q1","1","1"," "," ","",""
"2015Q2","1","1"," "," "," ",""
"2015Q3","1","1",""," ","",""
"2015Q4","1","1","","","",""
"2016Q1","1","1","","","",""
"2016Q2","1","1","","","",""
"2016Q3","1","1","","","",""
"2016Q4","1","1","","","",""
"2017Q1","1","1","","","",""
"2017Q2","1","1","","","",""
"2017Q3","1","1","","","",""
"2017Q4","1","1","","","",""
"2018Q1","1","1","","","",""
"2018Q2","1","1","","","",""
"2018Q3","1","1","","","",""
"2018Q4","1","1","","","",""
"2019Q1","1","1","","","",""
"2019Q2","1","1","","","",""
"2019Q3","1","1","","","",""
"2019Q4","1","1","","","",""
"2020Q1","1","1","","","",""
"2020Q2","1","1","","","",""
"2020Q3","1","1","","","",""
"2020Q4","1","1","","","",""
"2021Q1","1","1","","","",""
"2021Q2","1","1","","","",""
"2021Q3","1","1","","","",""
"2021Q4","1","1","","","",""
"2022Q1","1","1","","","",""
"2022Q2","1","1","","","",""
"2022Q3","1","1","","","",""
"2022Q4","1","1","","","",""
"2023:Q1","1","1","","","",""
"2023:Q2","1","1","","","",""
"2023:Q3","1","1","","","",""
