,NAICU,NAIRU
1999Q1,81.28007,-0.10296179886116
1999Q2,81.11452,-0.104378076189283
1999Q3,80.98695,-0.105500443734998
1999Q4,80.88751,-0.106320276006426
2000Q1,80.80021,-0.106841706571565
2000Q2,80.70786,-0.107096357987475
2000Q3,80.59653,-0.10714431951056
2000Q4,80.4584,-0.107060746979476
2001Q1,80.29216,-0.106922955571552
2001Q2,80.10503,-0.106786946887886
2001Q3,79.91431,-0.106668859500207
2001Q4,79.74233,-0.106558362152
2002Q1,79.60647,-0.106436399551855
2002Q2,79.51813,-0.10630447745237
2002Q3,79.48656,-0.106189479153348
2002Q4,79.51668,-0.106115206380877
2003Q1,79.60547,-0.106089095406992
2003Q2,79.74555,-0.106092757252927
2003Q3,79.9313,-0.106083906125216
2003Q4,80.15397,-0.106020748816068
2004Q1,80.39784,-0.105881254422316
2004Q2,80.64626,-0.105654051096973
2004Q3,80.88572,-0.105333520752245
2004Q4,81.10545,-0.104919070668837
2005Q1,81.29888,-0.104399815323641
2005Q2,81.46763,-0.10376081566963
2005Q3,81.62274,-0.10299160032368
2005Q4,81.77734,-0.102081726157867
2006Q1,81.93889,-0.101031490404648
2006Q2,82.10796,-0.0998662525477697
2006Q3,82.28061,-0.0986241071569686
2006Q4,82.44861,-0.0973501814401981
2007Q1,82.60025,-0.0960948607724503
2007Q2,82.72071,-0.0949003754302952
2007Q3,82.79483,-0.0938022975364516
2007Q4,82.81015,-0.0928396358923403
2008Q1,82.76014,-0.0920530146016122
2008Q2,82.64855,-0.091468747328438
2008Q3,82.49235,-0.091080499483383
2008Q4,82.32199,-0.0908358279929736
2009Q1,82.17973,-0.090639438930347
2009Q2,82.10369,-0.0903793915257605
2009Q3,82.10905,-0.0899619060651832
2009Q4,82.18817,-0.0893257817325179
2010Q1,82.31885,-0.0884447621408036
2010Q2,82.47517,-0.0873315169422572
2010Q3,82.63411,-0.0860227471266185
2010Q4,82.78049,-0.0845701023433145
2011Q1,82.9072,-0.0830372096581473
2011Q2,83.01349,-0.0814891439049425
2011Q3,83.10164,-0.0799829378057382
2011Q4,83.17538,-0.0785628618896086
2012Q1,83.23619,-0.0772617620918129
2012Q2,83.27995,-0.0761057603092388
2012Q3,83.2964,-0.0751218090941917
2012Q4,83.26971,-0.0743421655191811
2013Q1,83.17899,-0.0738045438779365
2013Q2,83.00023,-0.0735589638379753
2013Q3,82.71312,-0.073680251032876
2013Q4,82.30476,-0.0742626076140343
2014Q1,81.77116,-0.0754047313155027
2014Q2,81.11967,-0.0771923191566192
2014Q3,80.37218,-0.0796814801269912
2014Q4,79.56152,-0.0828910810964987
2015Q1,79.00128,-0.0867946224371725
2015Q2,79,-0.0913102073970992
2015Q3,79,-0.0962994173937907
2015Q4,79,-0.0999314589617476
2016Q1,79,-0.1
2016Q2,79,-0.1
2016Q3,79,-0.1
2016Q4,79,-0.1
2017Q1,79,-0.1
2017Q2,79,-0.1
2017Q3,79,-0.1
2017Q4,79,-0.1
2018Q1,79,-0.1
2018Q2,79,-0.1
2018Q3,79,-0.1
2018Q4,79,-0.1
2019Q1,79,-0.1
2019Q2,79,-0.1
2019Q3,79,-0.1
2019Q4,79,-0.1
2020Q1,79,-0.1
2020Q2,79,-0.1
2020Q3,79,-0.1
2020Q4,79,-0.1
2021Q1,79,-0.1
2021Q2,79,-0.1
2021Q3,79,-0.1
2021Q4,79,-0.1
2022Q1,79,-0.1
2022Q2,79,-0.1
2022Q3,79.44,-0.1
2022Q4,79.85,-0.1
2023Q1,80.26,-0.103
2023Q2,80.67,-0.09951
2023Q3,81.08,-0.09569
